datetime,lat,lon,time,label
2016-09-11 15:52:07,43.286943,5.36003,1473601927,2
2016-09-11 15:53:07,43.287908,5.360132,1473601987,2
2016-09-11 15:54:07,43.286919,5.359891,1473602047,2
2016-09-11 15:55:07,43.286926,5.359898,1473602107,2
2016-09-11 15:56:07,43.286918,5.359877,1473602167,2
2016-09-11 15:57:07,43.28692,5.359876,1473602227,2
2016-09-11 15:58:07,43.286917,5.359868,1473602287,2
2016-09-11 15:59:07,43.286911,5.359853,1473602347,2
2016-09-11 16:00:09,43.286906,5.359849,1473602409,2
2016-09-11 16:01:07,43.286898,5.359842,1473602467,2
2016-09-11 16:02:09,43.286895,5.359832,1473602529,2
2016-09-11 16:03:52,43.287801,5.359644,1473602632,2
2016-09-11 16:04:52,43.288553,5.359499,1473602692,2
2016-09-11 16:05:53,43.288714,5.359962,1473602753,2
2016-09-11 16:06:59,43.289347,5.363946,1473602819,2
2016-09-11 16:07:52,43.290253,5.368301,1473602872,2
2016-09-11 16:08:55,43.290032,5.372541,1473602935,2
2016-09-11 16:10:31,43.290538,5.372288,1473603031,2
2016-09-11 16:11:59,43.290514,5.372264,1473603119,2
2016-09-11 16:12:31,43.290669,5.372229,1473603151,2
2016-09-11 16:14:09,43.290745,5.372224,1473603249,2
2016-09-11 16:16:25,43.290745,5.372224,1473603385,2
2016-09-11 16:16:59,43.290691,5.372411,1473603419,2
2016-09-11 16:17:40,43.290691,5.372411,1473603460,1
2016-09-11 16:18:41,43.290706,5.372654,1473603521,2
2016-09-11 16:20:18,43.290516,5.37225,1473603618,2
2016-09-11 16:20:41,43.290519,5.372254,1473603641,2
2016-09-11 16:21:59,43.291746,5.375158,1473603719,2
2016-09-11 16:22:41,43.292078,5.376672,1473603761,2
2016-09-11 16:24:41,43.292932,5.379776,1473603881,2
2016-09-11 16:25:41,43.293178,5.381094,1473603941,2
2016-09-11 16:27:00,43.295276,5.381766,1473604020,2
2016-09-11 16:28:09,43.294398,5.385334,1473604089,2
2016-09-11 16:28:15,43.294398,5.385334,1473604095,1
2016-09-11 16:30:01,43.294816,5.391644,1473604201,2
2016-09-11 16:30:16,43.294871,5.393113,1473604216,2
2016-09-11 16:32:00,43.2941,5.395803,1473604320,2
2016-09-11 16:32:48,43.293307,5.395773,1473604368,2
2016-09-11 16:33:39,43.293298,5.395786,1473604419,2
2016-09-11 16:34:39,43.293329,5.395782,1473604479,2
2016-09-11 16:35:39,43.293302,5.395776,1473604539,2
2016-09-11 16:36:59,43.293304,5.39581,1473604619,2
2016-09-11 16:37:39,43.293327,5.39575,1473604659,2
2016-09-11 16:38:39,43.293306,5.395759,1473604719,2
2016-09-11 16:39:49,43.293306,5.395759,1473604789,2
2016-09-11 16:41:01,43.293306,5.395759,1473604861,2
2016-09-11 16:41:55,43.293306,5.395759,1473604915,1
2016-09-11 16:43:13,43.29328,5.395746,1473604993,2
2016-09-11 16:44:31,43.292873,5.394351,1473605071,2
2016-09-11 16:45:01,43.294568,5.394129,1473605101,2
2016-09-11 16:47:00,43.298087,5.392901,1473605220,2
2016-09-11 16:47:33,43.299055,5.392896,1473605253,2
2016-09-11 16:49:00,43.299104,5.397196,1473605340,2
2016-09-11 16:49:33,43.298651,5.397465,1473605373,2
2016-09-11 16:50:33,43.298678,5.397438,1473605433,2
2016-09-11 16:51:59,43.298709,5.397428,1473605519,2
2016-09-11 16:52:33,43.298683,5.397406,1473605553,2
2016-09-11 16:53:33,43.298772,5.397374,1473605613,2
2016-09-11 16:54:33,43.298804,5.397371,1473605673,2
2016-09-11 16:56:09,43.298442,5.397292,1473605769,2
2016-09-11 16:56:59,43.298749,5.397296,1473605819,2
2016-09-11 16:57:33,43.298507,5.397329,1473605853,2
2016-09-11 16:58:33,43.298529,5.397348,1473605913,2
2016-09-11 17:00:00,43.298528,5.397355,1473606000,2
2016-09-11 17:00:33,43.298528,5.397355,1473606033,2
2016-09-11 17:01:24,43.298528,5.397355,1473606084,1
2016-09-11 17:02:54,43.298682,5.397495,1473606174,2
2016-09-11 17:04:05,43.299607,5.397089,1473606245,2
2016-09-11 17:04:54,43.299151,5.393002,1473606294,2
2016-09-11 17:05:54,43.298926,5.389138,1473606354,2
2016-09-11 17:06:59,43.299162,5.385644,1473606419,2
2016-09-11 17:07:54,43.299107,5.381877,1473606474,2
2016-09-11 17:08:56,43.299152,5.381045,1473606536,2
2016-09-11 17:10:10,43.300365,5.38064,1473606610,2
2016-09-11 17:11:35,43.304755,5.373944,1473606695,2
2016-09-11 17:11:59,43.30494,5.373341,1473606719,2
2016-09-11 17:13:04,43.306804,5.373589,1473606784,2
2016-09-11 17:14:01,43.308126,5.373915,1473606841,2
2016-09-11 17:15:01,43.311011,5.372805,1473606901,2
2016-09-11 17:16:35,43.31341,5.371238,1473606995,2
2016-09-11 17:16:59,43.313407,5.371257,1473607019,2
2016-09-11 17:18:02,43.313473,5.3712,1473607082,2
2016-09-11 17:19:10,43.313568,5.371505,1473607150,2
2016-09-11 17:20:10,43.313569,5.371505,1473607210,2
2016-09-11 17:21:10,43.313569,5.371504,1473607270,2
2016-09-11 17:22:08,43.313569,5.371504,1473607328,1
2016-09-11 17:24:10,43.313441,5.371222,1473607450,2
2016-09-11 17:24:25,43.313519,5.371132,1473607465,2
2016-09-11 17:25:25,43.314367,5.37014,1473607525,2
2016-09-11 17:26:59,43.31649,5.366364,1473607619,2
2016-09-11 17:27:25,43.317912,5.366361,1473607645,2
2016-09-11 17:28:25,43.318822,5.364223,1473607705,2
2016-09-11 17:30:01,43.318786,5.3642,1473607801,2
2016-09-11 17:30:25,43.318786,5.364219,1473607825,2
2016-09-11 17:31:59,43.318845,5.364304,1473607919,2
2016-09-11 17:32:25,43.318818,5.364266,1473607945,2
2016-09-11 17:33:25,43.319359,5.363716,1473608005,2
2016-09-11 17:34:41,43.319357,5.363716,1473608081,2
2016-09-11 17:35:25,43.319355,5.36372,1473608125,2
2016-09-11 17:36:59,43.319334,5.363694,1473608219,2
2016-09-11 17:38:10,43.318773,5.364501,1473608290,2
2016-09-11 17:38:25,43.318623,5.364584,1473608305,2
2016-09-11 17:39:25,43.318523,5.364738,1473608365,2
2016-09-11 17:40:25,43.318575,5.364744,1473608425,2
